video_id,comment_text,sarcasm,hate_speech,misinformation,emotion,code_switch_tags
hhFGhAo4ZfY,😊 ji han lagi hai,no,none,na,joy,😊/urdu ji/urdu han/urdu lagi/urdu hai/urdu
WJxfQWiP9DQ,"Imran Bhai Sindh Hyderabad Mn Students Bhook Hartal Pr Bethy Hn, Sindh Public Service Commission K khilaf, Ye PPP Waly 17 grade Ki Job Peso Pr Dete Hn or Students Ne Cockroach Janta Party be Bana Li Hai, please Un K Liye be awaz uthain! 🤗😢🙏",no,none,na,anger|sadness|fear,"Imran/urdu Bhai/urdu Sindh/urdu Hyderabad/urdu Mn/urdu Students/urdu Bhook/urdu Hartal/urdu Pr/urdu Bethy/urdu Hn,/urdu Sindh/urdu Public/urdu Service/urdu Commission/urdu K/urdu khilaf,/urdu Ye/urdu PPP/urdu Waly/urdu 17/urdu grade/urdu Ki/urdu Job/urdu Peso/urdu Pr/urdu Dete/urdu Hn/urdu or/urdu Students/urdu Ne/urdu Cockroach/urdu Janta/urdu Party/urdu be/urdu Bana/urdu Li/urdu Hai,/urdu please/urdu Un/urdu K/urdu Liye/urdu be/urdu awaz/urdu uthain!/urdu 🤗😢🙏/urdu"
UiYpRBQ74fs,"Imran Riaz bhai I have been in UK for 56 years and I've been to Pakistan hundreds of times and I've never had a privilege of protocol, never have I desired for one. I'm from kashmir and I can categorically say that it's our Pakistani brothers who desire protocol. People's behaviour and character changes as soon as they arrive in Pakistan because there is no respect or rule of law. That's why we need Imran Khan niazi back!!",no,none,na,sadness,"Imran/urdu Riaz/urdu bhai/urdu I/urdu have/urdu been/urdu in/urdu UK/urdu for/urdu 56/urdu years/urdu and/urdu I've/urdu been/urdu to/urdu Pakistan/urdu hundreds/urdu of/urdu times/urdu and/urdu I've/urdu never/urdu had/urdu a/urdu privilege/urdu of/urdu protocol,/urdu never/urdu have/urdu I/urdu desired/urdu for/urdu one./urdu I'm/urdu from/urdu kashmir/urdu and/urdu I/urdu can/urdu categorically/urdu say/urdu that/urdu it's/urdu our/urdu Pakistani/urdu brothers/urdu who/urdu desire/urdu protocol./urdu People's/urdu behaviour/urdu and/urdu character/urdu changes/urdu as/urdu soon/urdu as/urdu they/urdu arrive/urdu in/urdu Pakistan/urdu because/urdu there/urdu is/urdu no/urdu respect/urdu or/urdu rule/urdu of/urdu law./urdu That's/urdu why/urdu we/urdu need/urdu Imran/urdu Khan/urdu niazi/urdu back!!/urdu"
UiYpRBQ74fs,Imran bahi 🐕 dogs k kids dogs 🐕 huu geyy brother butt imran Khan ney en sab kuta kar Dea hey 😂😂😂😂imran Khan zinda bad Allah bless u imran bahi and imran Khan ❤❤❤❤,yes,offensive,na,anger,Imran/urdu bahi/urdu 🐕/urdu dogs/urdu k/urdu kids/urdu dogs/urdu 🐕/urdu huu/urdu geyy/urdu brother/urdu butt/urdu imran/urdu Khan/urdu ney/urdu en/urdu sab/urdu kuta/urdu kar/urdu Dea/urdu hey/urdu 😂😂😂😂imran/urdu Khan/urdu zinda/urdu bad/urdu Allah/urdu bless/urdu u/urdu imran/urdu bahi/urdu and/urdu imran/urdu Khan/urdu ❤❤❤❤/urdu
VUKai4CZSNw,"hello everyone 
I’m from japan 
agr kisi ko bhi japanese content mei interest hei to check my channel I post vlogs about japan 
thank you!",no,none,na,none,hello/english everyone/english I’m/english from/english japan/english agr/urdu kisi/urdu ko/urdu bhi/urdu japanese/urdu content/urdu mei/urdu interest/urdu hei/urdu to/urdu check/urdu my/urdu channel/urdu I/english post/english vlogs/english about/english japan/english thank/english you!/english
UiYpRBQ74fs,"RANGERS KA EHELKAR OR ""SHAHEED"" ❓️❓️❓️❓️❓️ARE YOU SURE ❓️❓️❓️❓️",no,none,na,surprise|anger,"RANGERS/urdu KA/urdu EHELKAR/urdu OR/urdu ""SHAHEED""/urdu ❓️❓️❓️❓️❓️ARE/ambiguous YOU/english SURE/english ❓️❓️❓️❓️/ambiguous"
BaMLBWWvNHA,Name rajab ka or views dekho 😂😂,yes,none,na,surprise,Name/urdu rajab/urdu ka/urdu or/urdu views/urdu dekho/urdu 😂😂/urdu
XHQrr9fmTkc,Me tum hare jesi hu😂,yes,none,na,joy|none,Me/urdu tum/urdu hare/urdu jesi/urdu hu😂/urdu
UiYpRBQ74fs,Bahot Galt horaha Allah pak garak khra Asim Munir ko khuti ka bacha,no,hate,na,anger|sadness,Bahot/urdu Galt/urdu horaha/urdu Allah/urdu pak/urdu garak/urdu khra/urdu Asim/urdu Munir/urdu ko/urdu khuti/urdu ka/urdu bacha/urdu
FH8OUP2_sN4,"Romaisa ki behn ki 
😊",yes,hate,na,none,Romaisa/urdu ki/urdu behn/urdu ki/urdu 😊/urdu
