video_id,comment_text,sarcasm,hate_speech,misinformation,emotion,code_switch_tags
UiYpRBQ74fs,Mirpor ma bht shid kye ha hmary sab ke vduo ma ha en k kha ha ye kshmiri kuo nzar ni aty jab Marty ha kashmri ni Marty en ke armi sida fir Marti ha kashmruo ko ye,no,hate,na,anger,Mirpor/ambiguous ma/urdu bht/urdu shid/urdu kye/urdu ha/urdu hmary/urdu sab/urdu ke/urdu vduo/urdu ma/urdu ha/urdu en/urdu k/urdu kha/urdu ha/urdu ye/urdu kshmiri/urdu kuo/urdu nzar/urdu ni/urdu aty/urdu jab/urdu Marty/ambiguous ha/urdu kashmri/urdu ni/urdu Marty/ambiguous en/urdu ke/urdu armi/urdu sida/urdu fir/urdu Marti/ambiguous ha/urdu kashmruo/urdu ko/urdu ye/urdu
IMnXqYDHhZI,Jhailll fzool m cheek q rii h ap bhen,yes,offensive,na,anger,urdu/ambiguous urdu/ambiguous urdu/ambiguous urdu/ambiguous urdu/ambiguous urdu/ambiguous urdu/ambiguous urdu/ambiguous urdu/ambiguous
BmpRnfu16YA,Yaar haya to bohat Rich hein lekin ghar aye mehmano ko aik glass pani tak na pocha,yes,offensive,na,anger,Yaar/urdu haya/urdu to/urdu bohat/urdu Rich/english hein/urdu lekin/urdu ghar/urdu aye/urdu mehmano/urdu ko/urdu aik/urdu glass/english pani/urdu tak/urdu na/urdu pocha/urdu
UiYpRBQ74fs,😢😢😢 Allah Pakistan ko Apne hafzu aman mein rakhen Ameen Ameen Ameen llanat hi Ashe hakumat par 😢😢😢😢,no,offensive,na,sadness|anger,ambiguous/ambiguous Allah/urdu Pakistan/urdu ko/urdu Apne/urdu hafzu/urdu aman/urdu mein/urdu rakhen/urdu Ameen/urdu Ameen/urdu Ameen/urdu llanat/urdu hi/urdu Ashe/urdu hakumat/urdu par/urdu ambiguous/ambiguous
IMnXqYDHhZI,Mjy suchi zulqarnain bhai ke vloging psnd hits different ❤,no,none,na,joy,Mjy/urdu suchi/urdu zulqarnain/urdu bhai/urdu ke/urdu vloging/english psnd/urdu hits/english different/english ❤/ambiguous
BmpRnfu16YA,AJ ap bhot payari lag Rahi ha Moja sab bhano ma sa sab sa achi lagti hein ma ap ki bohotttttttt bari fan hu🎉🎉🎉🎉❤❤❤😊😊😊😊,no,none,na,joy,AJ/urdu ap/urdu bhot/urdu payari/urdu lag/urdu Rahi/urdu ha/urdu Moja/urdu sab/urdu bhano/urdu ma/urdu sa/urdu sab/urdu sa/urdu achi/urdu lagti/urdu hein/urdu ma/urdu ap/urdu ki/urdu bohotttttttt/urdu bari/urdu fan/english hu/urdu
PKFU1F2QEMQ,Aur syster main padhi likhi Nahin mujhse JCB video banti hai main banakar YouTube per Dal deti hun acchi Nahin banti mujhse lekin main koshish Karti Hun ki acchi bnao,no,none,na,joy,Aur/urdu syster/english main/urdu padhi/urdu likhi/urdu Nahin/urdu mujhse/urdu JCB/english video/english banti/urdu hai/urdu main/urdu banakar/urdu YouTube/english per/urdu Dal/urdu deti/urdu hun/urdu acchi/urdu Nahin/urdu banti/urdu mujhse/urdu lekin/urdu main/urdu koshish/urdu Karti/urdu Hun/urdu ki/urdu acchi/urdu bnao/urdu
VUKai4CZSNw,Tati bhai ki aise ki tase pajal human  lafanjo human Tati bhai pajal bhai no dolti humman,no,none,na,none,Tati/urdu bhai/urdu ki/urdu aise/urdu ki/urdu tase/urdu pajal/urdu human/english lafanjo/urdu human/english Tati/urdu bhai/urdu pajal/urdu bhai/urdu no/urdu dolti/urdu humman/english
VUKai4CZSNw,Bohat zayada move hota h apka camera sir me dard hogaya 1st time dekha tha vlog bad very bad,no,offensive,na,anger|sadness,Bohat/urdu zayada/urdu move/english hota/urdu h/urdu apka/urdu camera/english sir/urdu me/urdu dard/urdu hogaya/urdu 1st/english time/english dekha/urdu tha/urdu vlog/english bad/english very/english bad/english
VUKai4CZSNw,Duky apni khubsurt bevi ki chutr ki numaesh kr k pse kama rha bahrwe k pas or chaara nh khud tu suwar k mun san ha 😂,yes,offensive,na,joy|anger,Duky/ambiguous apni/urdu khubsurt/urdu bevi/urdu ki/urdu chutr/urdu ki/urdu numaesh/urdu kr/urdu k/urdu pse/urdu kama/urdu rha/urdu bahrwe/urdu k/urdu pas/urdu or/english chaara/urdu nh/urdu khud/urdu tu/urdu suwar/urdu k/urdu mun/urdu san/urdu ha/urdu 😂/ambiguous
zXAAAXogJ78,Hash brown KAHA say Liya hai please batya,no,none,na,none,Hash/english brown/english KAHA/urdu say/urdu Liya/urdu hai/urdu please/english batya/urdu
-w7eMfsuRgA,Awam ko chaheye k ary. Geo. Dunya news ko mary,no,offensive,na,anger,Awam/urdu ko/urdu chaheye/urdu k/urdu ary./english Geo./english Dunya/urdu news/english ko/urdu mary/urdu
IMnXqYDHhZI,Zulqarnain bhai kindly ap khod krr ln vlog 🙏🙏🙏,no,none,na,none,Zulqarnain/urdu bhai/urdu kindly/english ap/urdu khod/urdu krr/urdu ln/urdu vlog/english 🙏🙏🙏/ambiguous
IMnXqYDHhZI,Waise khana bht sari same h dono country me par india me bhi bht zyada alag alag items ke khana h Or mazedaar bhi h..par aapi aap khane ko ajeebogareeb bol rhi h ? Khane ko aise nhi kehte h aapi,no,offensive,na,anger,urdu/urdu urdu/urdu urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu
WJxfQWiP9DQ,Awam jab tak gulami main soi rahegi log ese hi mertey rahainge 🔥🔥🔥,no,none,na,anger|sadness,Awam/urdu jab/urdu tak/urdu gulami/urdu main/urdu soi/urdu rahegi/urdu log/urdu ese/urdu hi/urdu mertey/urdu rahainge/urdu 🔥🔥🔥/ambiguous
EyrNOfyxSBQ,Yar bhot achi film hai ❤plzz plz part 2,no,none,na,joy,Yar/urdu bhot/urdu achi/urdu film/english hai/urdu ❤plzz/english plz/english part/english 2/english
VUKai4CZSNw,Ap ki ami koi koi bemari ha 😢,no,none,na,sadness,Ap/urdu ki/urdu ami/urdu koi/urdu koi/urdu bemari/urdu ha/urdu 😢/ambiguous
BmpRnfu16YA,Haya ka baba Kya kam karta ga mashallah atna pyara gher,no,none,na,joy,Haya/ambiguous ka/urdu baba/urdu Kya/urdu kam/urdu karta/urdu ga/urdu mashallah/urdu atna/urdu pyara/urdu gher/urdu
8ksTrbtyTco,"Shame on you honestly, carrefour's name is given by BDS in their boycott list. you cannot even boycott those 7 things? Kisi cheez ki kami hey kya?",no,offensive,na,anger,Shame/english on/english you/english honestly/english carrefour's/english name/english is/english given/english by/english BDS/english in/english their/english boycott/english list/english you/english cannot/english even/english boycott/english those/english 7/english things/english Kisi/urdu cheez/urdu ki/urdu kami/urdu hey/urdu kya/urdu
hhFGhAo4ZfY,Waqas Bhai qari sahab ko to challenge Mein Lekar Aaya Karo,yes,none,na,joy,Waqas/ambiguous Bhai/urdu qari/urdu sahab/urdu ko/urdu to/urdu challenge/english Mein/urdu Lekar/urdu Aaya/urdu Karo/urdu
VUKai4CZSNw,Ducky bhai baby shippu kahan gaya❤😢,no,none,na,sadness,english/english urdu/urdu english/english urdu/ambiguous urdu/urdu urdu/urdu
eY0i4nBXqdY,Saudia Arabia mein Meri khala bhi Rehti hein😊,no,none,na,joy,english/english english/english urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu
UiYpRBQ74fs,Maryuim & bilawal 👢 🥾  boot ko izat do😂😂😅,yes,offensive,na,joy,Maryuim/ambiguous &/english bilawal/ambiguous 👢/ambiguous 🥾/ambiguous boot/urdu ko/urdu izat/urdu do/urdu
BaMLBWWvNHA,"aj pta chla ----
rajab, zulqarnain 🍒 k utha kr agy aya 
our ab ic video myn zulqarnain ny 🍒 bhatti k mun myn deye 
😂😂😂😂😂😂😂😂",yes,none,na,joy|surprise,aj/urdu pta/urdu chla/urdu ---/ambiguous rajab/urdu zulqarnain/urdu 🍒/ambiguous k/urdu utha/urdu kr/urdu agy/urdu aya/urdu our/english ab/urdu ic/english video/english myn/urdu zulqarnain/urdu ny/urdu 🍒/ambiguous bhatti/urdu k/urdu mun/urdu myn/urdu deye/urdu 😂/ambiguous
VUKai4CZSNw,My ny unsubscribe kr lia zyada maza araha try kro sb😂,yes,none,na,joy,My/english ny/urdu unsubscribe/english kr/urdu lia/urdu zyada/urdu maza/urdu araha/urdu try/english kro/urdu sb/urdu
N-0DINjOMlY,Yaar plz yai Editing Change karo yai Vlog hai awar Editing Challenge Wala Karty hai Maza nahi Araha Pehly Wala Editing theek tha,no,none,na,anger,Yaar/urdu plz/english yai/urdu Editing/english Change/english karo/urdu yai/urdu Vlog/english hai/urdu awar/urdu Editing/english Challenge/english Wala/urdu Karty/urdu hai/urdu Maza/urdu nahi/urdu Araha/urdu Pehly/urdu Wala/urdu Editing/english theek/urdu tha/urdu
FH8OUP2_sN4,Ducky Bhai bachi imprees  karta Howa 😅,yes,none,na,joy|surprise,Ducky/ambiguous Bhai/urdu bachi/urdu imprees/english karta/urdu Howa/urdu 😅/ambiguous
VUKai4CZSNw,"Duki bhi gab ap jaan ma land hoa to muga train to bustan wala seen yad a gia. Sosen or pragnant duki pounch gia 😂🎉😊, ap zombies attack krain ga agar ya seen ap add karta maza a gata, watch this seen.",yes,none,na,joy|surprise,Duki/urdu bhi/urdu gab/urdu ap/urdu jaan/urdu ma/urdu land/english hoa/urdu to/urdu muga/urdu train/english to/urdu bustan/urdu wala/urdu seen/english yad/urdu a/urdu gia/urdu Sosen/urdu or/english pragnant/english duki/urdu pounch/urdu gia/urdu ambiguous/ambiguous ap/urdu zombies/english attack/english krain/urdu ga/urdu agar/urdu ya/urdu seen/english ap/urdu add/english karta/urdu maza/urdu a/urdu gata/urdu watch/english this/english seen/english
VUKai4CZSNw,Bhi apki video dekhta hoon to ya kuch ata ha 8:11,yes,none,na,surprise,Bhi/urdu apki/urdu video/english dekhta/urdu hoon/urdu to/urdu ya/urdu kuch/urdu ata/urdu ha/urdu 8:11/ambiguous
BljaIOvFkcM,Aap yeh sunchain is sub Kay badlay  unhonay muqtadra ko kya diya hoga,yes,none,na,anger,Aap/urdu yeh/urdu sunchain/urdu is/urdu sub/urdu Kay/urdu badlay/urdu unhonay/urdu muqtadra/urdu ko/urdu kya/urdu diya/urdu hoga/urdu
nqbNLe84dpM,Areeb Bhai hama da ham pora kha la ga,no,none,na,joy,Areeb/urdu Bhai/urdu hama/urdu da/urdu ham/urdu pora/urdu kha/urdu la/urdu ga/urdu
BmpRnfu16YA,Please like and subscribe hum chota YouTubers ki bi sport kar do,no,none,na,none,Please/english like/english and/english subscribe/english hum/urdu chota/urdu YouTubers/english ki/urdu bi/urdu sport/english kar/urdu do/urdu
UiYpRBQ74fs,Imran Riaz Khan bhai you forgot the system in airport in Pakistan because living for 6 months in UK.,yes,none,na,none,Imran/urdu Riaz/urdu Khan/urdu bhai/urdu you/english forgot/english the/english system/english in/english airport/english in/english Pakistan/urdu because/english living/english for/english 6/ambiguous months/english in/english UK/english
N-0DINjOMlY,Namaz ki taleem dene wale dekho jo puri duniya mai bv ko sare uriyan phira k fakhar mehsoos krte hen 😢,yes,offensive,na,anger|sadness,Namaz/urdu ki/urdu taleem/urdu dene/urdu wale/urdu dekho/urdu jo/urdu puri/urdu duniya/urdu mai/urdu bv/english ko/urdu sare/urdu uriyan/urdu phira/urdu k/urdu fakhar/urdu mehsoos/urdu krte/urdu hen/urdu 😢/ambiguous
XHQrr9fmTkc,Agr ap Sach me larka Hoti toh nazary hi hoty,yes,offensive,na,anger,Agr/urdu ap/urdu Sach/urdu me/urdu larka/urdu Hoti/urdu toh/urdu nazary/urdu hi/urdu hoty/urdu
